exp_id,config_name,n,runs,rev_rate,frob_from_rank1_median,frob_from_rank1_iqr,frob_from_rank1_min,frob_from_rank1_max,macro_gap_median,macro_gap_iqr,macro_gap_min,macro_gap_max,sigma_median,sigma_iqr,sigma_min,sigma_max,sigma_u_median,sigma_u_iqr,sigma_u_min,sigma_u_max,sigma_ratio_median,sigma_ratio_iqr,sigma_ratio_min,sigma_ratio_max,tau_median,tau_iqr,tau_min,tau_max,active_tau_median,active_tau_iqr,active_tau_min,active_tau_max,budget_median,budget_iqr,budget_min,budget_max,macro_n_median,macro_n_iqr,macro_n_min,macro_n_max,trans_ep_median,trans_ep_iqr,trans_ep_min,trans_ep_max,budget_ratio_median,budget_ratio_iqr,budget_ratio_min,budget_ratio_max
EXP-100,A12_P2-P6,32,10,0.8,1.3700089458904277,0.20590271174535668,0.9686249313161485,1.5935966202521634,0.3913735513451686,0.0047553073672647606,0.2506030370983674,0.39811433432460386,7.299702267136448e-11,1.66377516423064e-11,6.048770205044196e-11,8.190204870434142,22.296491256889304,5.419813043404563,1.3472866983722218,22.360175739165282,0.040447813786193235,0.03302840448042539,0.007419409305767846,0.07347621826661863,66.0,35.0,1.0,1637.0,,,,,19.004479706996168,8.09710253880538,3.171170526616302,34.02251516643599,5.0,0.75,4.0,7.0,8.239936510889834e-18,2.0816681711721685e-17,0.0,2.0416038767553935e-08,0.17136042892473946,0.07301031048939974,0.028593949953516135,0.30677571193241715
EXP-100,A5_P1-P5,32,10,0.4,1.2466520937392889,0.3150344845575077,0.5787622704335232,2.318583964694771,0.2664663739707483,0.2565605980641389,0.0,0.648518603006742,8.463815225694471,27.771604617136493,5.303765625162405e-118,57.00534969160995,21.01649603682177,13.246251280022904,1.0473533223354896,58.909584388210405,0.16374438105864536,0.10321101913104341,0.11637017940544528,0.31035572368161546,9.0,7509.5,2.0,10000.0,,,,,14.384920216750874,7.449379847586405,8.223928374182185,21.47351995120272,7.0,0.75,5.0,8.0,0.0,0.0,0.0,1.6407427988161805e-05,0.12970658162681176,0.06716989602381931,0.0741538792628667,0.1936233796501899
EXP-100,A11_P2-P5,32,10,0.4,1.2444946295230426,0.6153474567678774,0.9202551979025091,2.045371679397714,0.3233911372924869,0.4184254407770961,-5.569322780729635e-12,0.6591508094228524,1.5300193770786843,20.080714984255803,0.0,52.62801052619374,21.833462188196037,14.464426742930657,7.172753801845154,53.097115654263106,0.26819470370057197,0.3177257080816712,1.6559784716957734e-12,0.43894766548790476,4.5,11.5,1.0,10000.0,,,,,10.966143080696247,7.930184743666766,6.859802709905296,21.62960201849687,7.0,2.0,5.0,8.0,0.0,4.98976207574664e-12,0.0,0.0010976705742603288,0.0988800015012456,0.07150523876888351,0.06185377094410652,0.1950307473030459
EXP-100,A13_P3-P6,32,10,0.4,1.1957258274236264,0.34015032907109133,0.45835035579344124,1.409290688920788,0.41040821850806813,0.16104892560472173,0.2830757825982293,0.7347761126208154,1.45476935212176,17.117547767279337,5.65950000238687e-11,111.0674271509867,22.557118929017527,10.496522859154826,0.5316235070812951,114.56107503235116,0.22352651287499042,0.13579296098717197,0.1156908306334549,0.7472357771285637,10.0,15.75,2.0,113.0,,,,,12.49578378593974,9.12394713187388,3.439273484991267,23.670262329700147,7.5,1.75,6.0,8.0,0.0,1.2085179211529518e-11,0.0,0.0016616095576840358,0.11267253312497486,0.08226920800304706,0.031011392506611273,0.21343106299749529
EXP-100,baseline,32,10,0.0,1.120603584296171,0.48133534669014155,0.7488872688002656,1.590782713905424,0.4518642555304064,0.0847414233478137,0.2307368528407051,0.629901024964308,8.10790078431086,20.892953379053544,5.7376364351524426e-11,52.096648112732794,18.299769760216144,29.80625895509015,4.257944951178723,53.95123036468756,0.289427281906265,0.23032585705305936,0.0599026841494255,53208.75654343359,7.5,7.0,2.0,49.0,,,,,8.43685740117351,9.265627540562699,0.6633016951369597,25.76832998904776,7.5,1.0,6.0,8.0,0.0,0.0,0.0,0.0017880284201403085,0.07607382708350231,0.08354671814683756,0.005980887913670843,0.23234901179493475
EXP-100,A1_P1-P1,32,10,0.0,1.0932392437400371,0.24593529281243975,0.8190854051297355,1.3356658313518517,0.49866363978804706,0.18439055724280318,0.30872400560596247,0.725216177836073,30.853267110825115,37.86300845886656,6.4550512422054265,94.65037371970281,33.10827905825401,34.33520652823353,10.346079864510642,94.39051139784495,0.16861852666653265,0.12431946537066088,0.07823198810495789,0.42459080691637696,3.0,0.75,2.0,5.0,,,,,4.263931638599857,4.697020062570677,2.8933716273981327,23.485901900369985,8.0,0.0,5.0,8.0,0.0,0.0,0.0,0.0,0.03844720643560978,0.04235229719516678,0.026089080614350724,0.21176871376542786
EXP-100,A8_P2-P2,32,10,0.1,1.0812682554360227,0.29579624068486976,0.7478611216100186,1.5033778746779647,0.434211184927739,0.21872751168202914,0.336662240035114,0.6542918763727864,30.345414037143854,33.29629339297016,5.670285234025635e-11,75.62096732934906,34.69454171926794,29.874820287847058,2.884223767768106,77.0840372458236,0.2836470255405957,0.28470093114101375,0.04545578424875949,0.6684752349160261,4.0,4.5,2.0,52.0,,,,,15.143342943570419,8.096413523622113,4.759868370481874,22.63293753542694,8.0,1.0,6.0,8.0,0.0,0.0,0.0,9.40875584475578e-05,0.136545161044812,0.07300409774697476,0.04291899058361519,0.20407766714443829
EXP-100,A2_P1-P2,32,10,0.2,1.0616732299025387,0.31094478111313273,0.9260401209159612,2.186452121561703,0.46810114502395844,0.13965023114496394,0.039391896544674676,0.5950641747775847,38.66144101015285,37.20410989539439,1.3359460268941028e-10,70.28469389722292,39.069722988250625,32.078875823443866,9.50878158929245,69.53256762382911,0.24321036063325377,0.10658592579037174,0.19805710015577602,0.3668167912820474,4.5,6.0,3.0,10000.0,,,,,11.621435772718797,5.789396680183788,3.0763334109550757,23.47550916888936,7.5,1.0,5.0,8.0,0.0,0.0,0.0,2.7755575615628914e-17,0.10478867348319379,0.05220208675150109,0.027738818475661984,0.21167500412687545
EXP-100,A4_P1-P4,32,10,0.1,1.0079539007376193,0.3123757537750059,0.5160426341248249,1.3523283736173852,0.47711713895834384,0.21337560135663447,0.0,0.9448225518028845,16.323660139294688,24.246184328095715,1.3877787807814457e-16,63.34762094829372,23.379582666887412,19.61073061239625,2.351062790693736,65.10638727178734,0.31093784964416066,0.18525532708472625,0.02277283930705871,0.8944012066751625,4.5,2.5,2.0,10000.0,,,,,15.332054392741181,13.175412258176015,3.0331096188355766,24.442028837030886,7.0,1.5,6.0,8.0,0.0,0.0,0.0,4.505852332276766e-12,0.1382467427440472,0.11880063704086374,0.027349076284791878,0.22038996120280935
EXP-100,A6_P1-P6,32,10,0.3,0.9923575168111525,0.1808109594644033,0.4313680139014858,1.1569715961367883,0.3968597680782802,0.16662999839654302,0.0,0.7885323012603784,11.298878317220046,40.40874216144314,1.8572170248198758e-282,66.63091460999546,16.75502867755281,25.95128538559834,2.567547638905054,67.6170958685713,0.2021564268967429,0.18503521869458822,1.4110746950941624e-05,291.0376836966186,5.5,1.75,2.0,10000.0,,,,,18.62026853733807,12.821060728779454,5.7445134317351245,27.092782971514296,7.0,0.75,5.0,8.0,0.0,0.0,0.0,0.020899812372035254,0.16789605674274016,0.11560550457716474,0.05179738150177691,0.24429139773052894
EXP-100,A3_P1-P3,32,10,0.1,0.9610597067462916,0.2663971797868139,0.6374825863436167,1.528190252231539,0.44279417624843426,0.11170428173465574,0.38880505752664496,0.563455685148847,1.8038725009959828,7.086804837291635,6.796752124374484e-11,24.726042601819472,8.15850601187634,20.24246978778003,0.4595816213519974,26.222834840541925,0.20577596429682954,0.24080756260986355,0.05244477031357029,0.4582251682153814,9.5,11.5,3.0,437.0,,,,,7.783130908914973,7.613280752848824,2.688529401159732,21.242402820519544,7.0,2.0,5.0,8.0,0.0,0.0,0.0,0.011022443394666834,0.07017927728050777,0.06864776491893995,0.02424205021460825,0.19153943253580796
EXP-100,A9_P2-P3,32,10,0.5,0.953366588377127,0.895714315849482,0.5636436730221438,2.5809553341445004,0.43073396677444914,0.12439433698261265,0.025449643602988847,0.7949198238865713,1.8661576164038745,16.525958260621664,4.932219957160764e-11,47.70362230630174,25.23906107138334,14.42342033343061,6.207274123622294,50.63335514332963,0.35284902756741343,111.00416687515188,6.26026984832429e-12,196.0414867431065,9.5,113.75,1.0,10000.0,,,,,12.321892380652603,6.964886208402813,3.0928388073696214,19.656854744728772,7.0,1.75,5.0,8.0,0.0,9.859821292756976e-14,0.0,1.5505259666705813,0.11110458144959383,0.0628012924576167,0.027887645060381803,0.17724279287309305
EXP-100,A7_P2-P1,32,10,0.2,0.9432784354600643,0.5307898030772574,0.36758060445589363,1.2605324617187188,0.5481871527938458,0.22372622764897265,0.35331214828120505,0.7537524347399291,2.37155449706951,15.342118860679022,6.805397270111152e-11,61.488170118676805,16.74399694489097,21.939272224380463,0.29927201808816495,61.53746796711394,0.2597118579145699,0.1779487577799826,0.12765090103673046,0.6648619873073245,18.5,29.5,2.0,1069.0,,,,,13.960796696878331,11.230482528505085,4.5130485418848805,29.487557961765823,6.5,2.5,5.0,8.0,0.0,0.0,0.0,3.471176456939021e-07,0.12588232600903368,0.10126350906665271,0.040693454691678024,0.2658847102460339
EXP-100,A2_P1-P2,64,10,0.0,1.0295644822324845,0.2597422224490127,0.8327750749579448,1.3022012929007682,0.44973559790005746,0.08817831401892195,0.3118076790227472,0.5777503000514959,5.98171883305065,10.121597846071573,0.5565126787790095,23.91950964531372,7.932499335815327,9.698023110778294,1.1561198458461264,25.72219137009454,0.03338105639228482,0.0434242793585599,0.00762782207161509,0.11756008834441704,2.0,0.75,2.0,5.0,,,,,16.091801810038312,6.492668670133648,5.569036887596075,26.851367730517488,8.0,0.0,7.0,8.0,0.0,0.0,0.0,0.0,0.06045719445393313,0.02439307524098165,0.020922973698600432,0.10088108090079043
EXP-100,A3_P1-P3,64,10,0.0,1.005978094730322,0.35739589790212123,0.486545636976827,1.2636113958123099,0.4874520646837275,0.13165212054673747,0.3525909579698392,0.7794367016567907,2.442806282315674,1.8886563608653224,0.24198908632632493,6.827129630498634,2.6720473063718444,4.069001940197034,0.4691271110343792,7.600773872023311,0.022187827716939054,0.023145175495695162,0.007650846055538742,0.049094070535384386,2.0,1.75,2.0,6.0,,,,,17.029212761574932,12.128078608566625,3.963418774721367,30.621929289664596,8.0,0.0,6.0,8.0,0.0,0.0,0.0,0.0,0.06397906458689376,0.04556541370856925,0.014890637008481063,0.1150471498141969
EXP-100,A13_P3-P6,64,10,0.0,1.0035564813829807,0.16019445170420965,0.5985175910020922,1.144249668529254,0.47613828627125326,0.07080689951227481,0.3375551894860246,0.6150601545985173,3.945757701453915,2.9255268299408903,1.9424627732942277,21.677651280153697,5.1524580118670045,3.254740473957447,2.0856636032259024,25.325627873869962,0.020553501302859253,0.017820783412012393,0.014705543010775075,0.036653950887379445,2.0,0.75,2.0,47.0,,,,,20.72890901308036,8.518796075395297,7.405227275227475,29.225832780488965,8.0,0.0,6.0,8.0,0.0,0.0,0.0,0.0,0.07787889124012912,0.03200527305290929,0.027821574652672838,0.10980198963088943
EXP-100,A6_P1-P6,64,10,0.1,0.9993066012905539,0.19771430410667146,0.5724559368391635,1.438334502390258,0.45510725831047594,0.10298706326357465,0.3395276730709651,0.6238056899959635,1.944351012187815,1.2017356482818355,7.551140119721504e-11,7.129519381562194,3.321511068718203,2.139324832850191,0.904017580735692,22.84046217591358,0.015115885593213776,0.028349457207861237,0.0051737803426074504,0.049739093700449495,3.0,0.75,2.0,148.0,,,,,18.03279365247269,9.9216296950617,8.859211736787481,29.147734025066654,8.0,1.0,5.0,8.0,0.0,0.0,0.0,6.591949208711867e-17,0.06774953639530294,0.03727574468385988,0.03328422093450156,0.10950857117477648
EXP-100,A7_P2-P1,64,10,0.0,0.9974983931407694,0.17125037961723455,0.8181882629461635,1.2467427577215888,0.4864753011623649,0.0872991884276475,0.35673781547945027,0.6398055235974485,3.453645222334103,6.355314503852032,0.6417065982010771,22.64944200276306,5.021639415554237,6.345965076705255,0.7143118865218359,25.755168380454055,0.03278606405926021,0.06420418733413935,0.00289591544454,0.1763955488290722,2.0,1.0,2.0,6.0,,,,,17.26036499831061,12.503223117670501,7.089231567116148,29.692200736526598,8.0,0.0,7.0,8.0,0.0,0.0,0.0,0.0,0.06484750777863584,0.046974838507790315,0.0266343729833124,0.11155414259288164
EXP-100,A12_P2-P6,64,10,0.3,0.9937737867055708,0.3964766525259794,0.7309639027180705,1.364737903988307,0.4005211706341605,0.05156399622554109,0.2775798286375972,0.4888527846272357,0.5899473597480356,1.321951513907134,5.965686957081789e-11,8.58827142462893,3.4332392014076847,15.097741192019049,0.6045911952066964,22.307699523379366,0.025282367579410124,0.04729459221943605,0.00558196741856311,0.34703885057340467,4.5,26.25,2.0,5864.0,,,,,21.376218229519164,11.301075193755235,6.105511918350382,39.70247893849296,7.5,2.0,5.0,8.0,0.0,0.0,0.0,5.738228621536556e-07,0.08031084383512385,0.042458346715479045,0.02293852022576187,0.14916294134261018
EXP-100,baseline,64,10,0.1,0.9742506357186331,0.22588302993868203,0.7793351445075637,1.412295660042714,0.46611806639863135,0.14071877722408238,0.35815271038050756,0.7235800419457337,3.370966624476363,5.840598610732396,7.206259078679746e-11,12.067717600853571,6.115326727320458,4.741892373138246,1.1392910865896697,22.67680188023941,0.0271609414353407,0.02662640035320222,0.005607687123356714,0.08887019449369034,2.0,1.0,2.0,155.0,,,,,16.69092859444832,10.281520613894617,2.286099072905722,31.380898409909907,8.0,0.75,5.0,8.0,0.0,0.0,0.0,5.778194762939837e-13,0.06270812476833955,0.03862786146474849,0.008588916134015474,0.11789861071514944
EXP-100,A8_P2-P2,64,10,0.0,0.9649930694243553,0.28701488997339286,0.6927495669115806,1.2869484542016578,0.46557744603067563,0.122683721588424,0.33468064062371594,0.7467427751243927,3.1361318144706267,2.1105170250050045,1.1465253287964792,5.2068324904012435,3.610369251596981,1.6929530209479382,1.6526510322801407,5.40456948381506,0.021358533355611574,0.008911404737778367,0.014276053568003072,0.031325061897830436,3.0,0.75,2.0,4.0,,,,,16.030556756199672,5.606964120014704,11.195691750598545,23.46823959875423,8.0,0.75,6.0,8.0,0.0,0.0,0.0,0.0,0.06022709566369358,0.021065467006217607,0.04206241918726562,0.08817060647790814
EXP-100,A1_P1-P1,64,10,0.1,0.964816433701857,0.22952168526794192,0.5144065308369069,1.1766530452841082,0.49438903544865015,0.16729490497571425,0.3466857606504825,0.7068823016556145,2.3983349105558585,2.3803781242413633,8.750209696331724e-11,7.560650142256659,3.06610274532253,3.506003094357067,1.2783475531856743,19.055634935193485,0.01893352951631947,0.005688041568420324,0.0061832053795001255,0.04007353056407484,2.5,1.0,2.0,15.0,,,,,23.69204632123979,14.672658324843765,5.260112326370047,43.3892152764589,8.0,1.0,6.0,8.0,0.0,0.0,0.0,2.4709806430080195e-05,0.08901145243792775,0.05512544635914132,0.019762338457742126,0.16301407736304924
EXP-100,A5_P1-P5,64,10,0.1,0.8943532840691083,0.14925145298792575,0.5515633703493222,1.3633261549010764,0.5005895558891367,0.19087387342147855,0.3648835742722477,0.6402974415204822,2.8031943928696723,2.4628715557893015,7.665534782615778e-11,11.526216659896676,3.532166319636933,2.9331818912878433,0.6459557271623779,22.36790073340998,0.026105743435752567,0.039852114405585504,0.0044446993436979675,0.24879044308672468,3.0,3.0,2.0,139.0,,,,,14.969818578845759,16.12628076792778,0.9855441165823564,27.032710627624674,8.0,0.75,5.0,8.0,0.0,0.0,0.0,6.114900252818245e-17,0.05624188288205273,0.06058673253091791,0.003702707316590261,0.10156238949026171
EXP-100,A4_P1-P4,64,10,0.0,0.8681114844473998,0.1244055718482564,0.6335734954316418,1.0254741301628976,0.4945875778190505,0.06254978043133486,0.4218111503517603,0.6001873111310159,2.1543220456095087,4.404535681952595,0.48962766578197653,11.477318331722275,2.873529210000898,4.6387581811732534,0.795482530657105,23.152467337040083,0.03640993764380318,0.059260775874937464,0.008026704084441779,299.76037577435625,3.5,1.75,2.0,8.0,,,,,16.871988633632387,7.841334742803415,10.00462570711799,28.25144449307151,8.0,1.0,7.0,8.0,0.0,0.0,0.0,0.0,0.06338837065540731,0.0294600384046688,0.03758756222294105,0.10614119496902105
EXP-100,A9_P2-P3,64,10,0.3,0.8297003177193915,0.16674966699671845,0.4336725598284163,1.519123230451408,0.5105666843398453,0.22340600004307065,0.39293288016456107,0.7333035925054698,1.041167370053794,1.9346835634254687,5.670183305263385e-11,17.214733174895734,5.4027020314439635,16.335411193283853,1.0706153541447545,27.224719092513357,0.04377321238557863,0.11602334370354522,0.008959776487386124,0.21403668625588365,12.0,60.5,5.0,158.0,,,,,15.95770548609785,9.330485668038563,5.378349779776973,34.30359379892016,7.0,0.75,6.0,8.0,0.0,1.0408340855860843e-17,0.0,3.137482149084825e-09,0.05995339210614577,0.035054805735324955,0.020206558738152313,0.12887923088117584
EXP-100,A11_P2-P5,64,10,0.0,0.7884955242934821,0.21718224375153006,0.6240062896893365,1.0195840798422173,0.5456698533921068,0.08318042866576358,0.4578256943127521,0.788169655896598,2.2100804150474316,3.868093642218245,0.7377119468736916,11.611680372411238,2.8685884057368205,4.393619668808877,1.1619245427673977,11.852960047002156,0.01874756746129832,0.03372448398679068,0.00940514375879549,0.05803917798606697,3.0,1.5,2.0,5.0,,,,,16.130620022790023,4.8552415901078145,3.0778009134804933,45.66660688052998,8.0,0.0,7.0,8.0,0.0,0.0,0.0,0.0,0.0606030351909984,0.018241231678037477,0.011563354465421432,0.1715702793769959
