exp_id,n,config_name,short_label,E_enabled_count,metric,n_eff,median,ci_low,ci_high,delta_vs_baseline_median,delta_ci_low,delta_ci_high,delta_method,es_mad_vs_baseline
campaign_v3_union,32,empty,Null,0,tilde_frob,10,0.8557308666723649,0.7721988900893624,1.0952859286118293,-0.1115071298048052,-0.42053128048881394,0.24761950101173902,paired,-0.8606245151737131
campaign_v3_union,32,empty,Null,0,tilde_sigma_pi,10,5.540755799499387,5.052552023756071,11.706737451089358,-0.5469777896497383,-24.936575566085693,10.417537702810579,paired,-0.24054894861885348
campaign_v3_union,32,empty,Null,0,tilde_geo_r2,10,0.1250120977672983,0.0914807847941301,0.1776852609079267,0.0007648490499517942,-0.07474710265242898,0.07424805725274346,paired,0.03476683999734274
campaign_v3_union,32,empty,Null,0,tilde_pla2_gap,10,0.7947464036421786,0.6952298494616446,0.8829299463771136,0.1888610473770388,0.11315627093125635,0.41030115332463923,paired,2.4357335931894384
campaign_v3_union,32,empty,Null,0,tilde_diff_kl,10,0.23638101655702276,0.18288676452942715,0.2717184224069801,-0.068222948007001,-0.1124891080866641,0.04914630846030002,paired,0.0268031297303845
campaign_v3_union,32,baseline,Baseline,2,tilde_frob,10,0.989015609528064,0.7980710116132326,1.2266418430323798,0.0,0.0,0.0,self,0.0
campaign_v3_union,32,baseline,Baseline,2,tilde_sigma_pi,10,6.173827257313741,2.8465883084306904,26.86604929860647,0.0,0.0,0.0,self,0.0
campaign_v3_union,32,baseline,Baseline,2,tilde_geo_r2,10,0.123226717030714,0.0453798225974573,0.19611392645829864,0.0,0.0,0.0,self,0.0
campaign_v3_union,32,baseline,Baseline,2,tilde_pla2_gap,10,0.5551705629048307,0.3811673811258266,0.6843682007403282,0.0,0.0,0.0,self,0.0
campaign_v3_union,32,baseline,Baseline,2,tilde_diff_kl,10,0.23569178222819226,0.22102197964292,0.3182991361779824,0.0,0.0,0.0,self,0.0
campaign_v3_union,32,full_action,Full-Action,24,tilde_frob,10,1.4896610593038841,1.2478788372917036,1.574536651434172,0.4535175217259769,0.12805874374945736,0.7384313736672796,paired,2.9808901247611455
campaign_v3_union,32,full_action,Full-Action,24,tilde_sigma_pi,10,6.65698499542666e-11,6.098948577331497e-11,8.413119975723458e-11,-6.173827257241059,-26.86604929854911,-2.8465883083599612,paired,-2.9157441303104505
campaign_v3_union,32,full_action,Full-Action,24,tilde_geo_r2,8,0.17707732415716126,0.1391346922664653,0.220058532489786,0.0870230209929186,-0.08332528920180918,0.1518657183361177,paired,1.1056943246639241
campaign_v3_union,32,full_action,Full-Action,24,tilde_pla2_gap,10,0.02582557750332855,4.044217003733766e-13,0.12673241327757984,-0.4195280785908047,-0.6545544212635717,-0.37049101287987274,paired,-6.7193592955573616
campaign_v3_union,32,full_action,Full-Action,24,tilde_diff_kl,8,1.711044217115275e-11,1.3452810775167267e-11,0.0683889047452524,-0.22552854267215727,-0.2799265208770988,-0.196656486386141,paired,-22.10077658592231
campaign_v3_union,32,full_all,Full-All,25,tilde_frob,10,1.0766261539248176,0.9299558079738639,1.5710365940469013,0.15981388762499443,-0.16767218244360843,0.636494773181272,paired,0.3780531308239153
campaign_v3_union,32,full_all,Full-All,25,tilde_sigma_pi,10,8.031469247553931e-11,6.170372423010953e-11,1.4897947952789947,-3.7625113123857306,-26.86604929854911,-0.16330032911656467,paired,-2.915744130293828
campaign_v3_union,32,full_all,Full-All,25,tilde_geo_r2,5,1.5942825493125932e-10,4.595930348798439e-12,0.1136109965912399,-0.07815061862150335,-0.24446010083971598,0.06823117399378259,paired,-4.009883387027389
campaign_v3_union,32,full_all,Full-All,25,tilde_pla2_gap,10,0.26965453421725705,0.05595251190678653,0.4913841487194158,-0.47449160443067245,-0.5098415114601347,0.1845920654872789,paired,-1.635147391206475
campaign_v3_union,32,full_all,Full-All,25,tilde_diff_kl,5,0.030764121017229,0.0252015240861463,0.3680720701177573,-0.1972666666737416,-0.3165002650022365,0.019108724632744406,paired,-15.241118354737525
campaign_v3_union,32,gen6_core_A12_A25,Gen6-core,8,tilde_frob,10,1.0133993017477072,0.8290690082365262,1.163357411598114,-0.021270845671500282,-0.1800012253932901,0.38568907507909,paired,0.13469553213806434
campaign_v3_union,32,gen6_core_A12_A25,Gen6-core,8,tilde_sigma_pi,10,4.249885588652899e-09,7.34642381014201e-11,0.35034406894600545,-6.1738272572077895,-26.80587851674406,-2.27728258983228,paired,-2.9157441254576244
campaign_v3_union,32,gen6_core_A12_A25,Gen6-core,8,tilde_geo_r2,8,1.5443056009969527e-09,1.2783088477687592e-12,0.1879798810723867,-0.09657378634365191,-0.24446009973567034,0.0892386172455123,paired,-4.0098832513240845
campaign_v3_union,32,gen6_core_A12_A25,Gen6-core,8,tilde_pla2_gap,10,0.45367444594626294,0.1810349036590853,0.7559705547620454,-0.1422323934948748,-0.39704174577503437,0.26213408547130346,paired,-0.5234253076194356
campaign_v3_union,32,gen6_core_A12_A25,Gen6-core,8,tilde_diff_kl,8,0.15131817526565944,0.0477181712804045,0.326722580458236,-0.15967282169556204,-0.2428969229342304,0.06323956920580878,paired,-1.2001707527267054
campaign_v3_union,64,empty,Null,0,tilde_frob,10,0.4548284789647292,0.4234817660744124,0.4768191857876637,-0.707406099374724,-0.7832625987917964,-0.5144399315073962,paired,-10.124748373610268
campaign_v3_union,64,empty,Null,0,tilde_sigma_pi,10,1.5903721490252847,1.327384014372557,2.1576374335463733,-5.814067782314523,-11.528181690101105,-0.030846280927671277,paired,-2.169180390533716
campaign_v3_union,64,empty,Null,0,tilde_geo_r2,10,0.1040919273566325,0.073408544171702,0.16455614661634185,-0.04629886264597446,-0.06113989298236436,0.0820211578673925,paired,-0.47220449918676527
campaign_v3_union,64,empty,Null,0,tilde_pla2_gap,10,1.5016916904786268,1.4472154085980757,1.5512630614254135,0.7513422404924577,0.6681549030977737,0.8754477003382695,paired,13.469409944405655
campaign_v3_union,64,empty,Null,0,tilde_diff_kl,10,0.11469700557332216,0.0861488885480898,0.1353692733413307,-0.0854790080590965,-0.17776546582725233,-0.009468778281273516,paired,-2.372274306206639
campaign_v3_union,64,baseline,Baseline,2,tilde_frob,10,1.1391987176075853,0.9739239818525688,1.2415924335202895,0.0,0.0,0.0,self,0.0
campaign_v3_union,64,baseline,Baseline,2,tilde_sigma_pi,10,7.402076286906459,1.9609671382216012,13.398633211790788,0.0,0.0,0.0,self,0.0
campaign_v3_union,64,baseline,Baseline,2,tilde_geo_r2,10,0.1255929255175173,0.043624596960582254,0.16625173292728862,0.0,0.0,0.0,self,0.0
campaign_v3_union,64,baseline,Baseline,2,tilde_pla2_gap,10,0.7877875264342169,0.6145279490145757,0.8317654278285078,0.0,0.0,0.0,self,0.0
campaign_v3_union,64,baseline,Baseline,2,tilde_diff_kl,10,0.2097886386617556,0.10471055441813709,0.31219284510141626,0.0,0.0,0.0,self,0.0
campaign_v3_union,64,full_action,Full-Action,24,tilde_frob,10,1.499985921938705,1.2740941085665345,1.654359969132524,0.44380809186226194,0.13035446413969545,0.5954960491996033,paired,2.6413904036439084
campaign_v3_union,64,full_action,Full-Action,24,tilde_sigma_pi,10,6.720884034131434e-11,6.203315916918863e-11,7.915580383730007e-11,-7.307320925273779,-13.398633211726693,-1.9609671381586113,paired,-2.9295573544435727
campaign_v3_union,64,full_action,Full-Action,24,tilde_geo_r2,9,0.0064733819190837,9.357545049808177e-14,0.2233978498528569,-0.06103562092160143,-0.17687121661376481,0.211633018555308,paired,-4.167437219629951
campaign_v3_union,64,full_action,Full-Action,24,tilde_pla2_gap,10,0.05630588673668425,3.257737690443364e-13,0.27835318062084974,-0.6167791092683947,-0.8018339876772622,-0.494122284419375,paired,-12.738446189017631
campaign_v3_union,64,full_action,Full-Action,24,tilde_diff_kl,9,0.1153893594614761,1.2869217667546573e-11,0.3805538007145648,-0.13146658485634732,-0.2677906775375602,0.1732487269462765,paired,-1.0796730334803653
campaign_v3_union,64,full_all,Full-All,25,tilde_frob,10,1.2619513227399104,0.7069433535060207,1.4309219595453455,0.007565196058557433,-0.4364750388152673,0.4477452236172019,paired,0.5387701915016121
campaign_v3_union,64,full_all,Full-All,25,tilde_sigma_pi,10,7.230345883662114e-11,6.848261545571643e-11,0.16444881408433326,-7.181894847141724,-13.23418439770543,-1.9609671381531186,paired,-2.9295573544420828
campaign_v3_union,64,full_all,Full-All,25,tilde_geo_r2,7,0.1523915071474013,6.724609640619406e-13,0.291967486968006,-0.024479709466618704,-0.1641646159489283,0.2309318660464023,paired,0.26391501411384893
campaign_v3_union,64,full_all,Full-All,25,tilde_pla2_gap,10,0.4331076213670557,4.655553504583877e-13,0.8542486555727515,-0.17908721200585484,-0.7619929649619744,0.10467754858692907,paired,-1.5027755989370806
campaign_v3_union,64,full_all,Full-All,25,tilde_diff_kl,7,0.2163070024143976,1.6545831335167087e-11,0.2645697610001256,-0.020974849743998797,-0.16928865759672931,0.16659457109178202,paired,0.1210019431994624
campaign_v3_union,64,gen6_core_A12_A25,Gen6-core,8,tilde_frob,10,1.0052914015661845,0.7889120185498293,1.588522573516852,-0.0877175446302369,-0.34909410581951994,0.5181960285423606,paired,-0.7550226466684846
campaign_v3_union,64,gen6_core_A12_A25,Gen6-core,8,tilde_sigma_pi,10,0.05384981987501002,7.027739669879196e-11,1.6262565075615916,-7.402076286837696,-13.06110147630533,-1.2315871481049658,paired,-2.8775808363525632
campaign_v3_union,64,gen6_core_A12_A25,Gen6-core,8,tilde_geo_r2,9,0.0317493147309087,3.713919088533664e-12,0.1037681666136466,-0.06655811173075019,-0.15563224924028268,0.0920033353160977,paired,-2.27657665977676
campaign_v3_union,64,gen6_core_A12_A25,Gen6-core,8,tilde_pla2_gap,10,0.7035735375021521,0.31336831445718805,0.9738010355601936,-0.10650591447910285,-0.5692737679461213,0.21241753765939445,paired,-0.4919976273763957
campaign_v3_union,64,gen6_core_A12_A25,Gen6-core,8,tilde_diff_kl,9,0.2676512501258071,0.1096521538580015,0.3015909417057946,0.07809811391771468,-0.21227220353988313,0.2614584904804105,paired,1.2388058884870776
campaign_v3_union,128,empty,Null,0,tilde_frob,10,0.27587299111973135,0.2711636105196613,0.2891597124428534,-1.0382280991520063,-1.1121614033736607,-0.8641159694505367,paired,-25.552346321096657
campaign_v3_union,128,empty,Null,0,tilde_sigma_pi,10,0.2187593061771127,0.2021011893943303,0.2602737873666522,-10.034407872730577,-13.723345644351863,-4.35344210182743,paired,-4.536964785987838
campaign_v3_union,128,empty,Null,0,tilde_geo_r2,10,0.13476785623324256,0.0816760314080985,0.174238111004344,0.005271811745132346,-0.032503345070010105,0.0874661369980639,paired,1.3468445930485966
campaign_v3_union,128,empty,Null,0,tilde_pla2_gap,10,2.03349700555193,1.9815320162058003,2.080562990200413,1.2454539755083063,1.1787652601298642,1.295854909245227,paired,38.01422523369184
campaign_v3_union,128,empty,Null,0,tilde_diff_kl,10,0.051753608284338254,0.043133644516966996,0.07614795033126945,-0.34273719626043,-0.3789900905428857,-0.25246366612285864,paired,-10.819316676352948
campaign_v3_union,128,baseline,Baseline,2,tilde_frob,10,1.3171799885793951,1.1404376430874663,1.3809205484684466,0.0,0.0,0.0,self,0.0
campaign_v3_union,128,baseline,Baseline,2,tilde_sigma_pi,10,10.288007820383388,4.568549866053803,13.95894671948309,0.0,0.0,0.0,self,0.0
campaign_v3_union,128,baseline,Baseline,2,tilde_geo_r2,10,0.0914961208357772,0.0785982385494528,0.13689729597054945,0.0,0.0,0.0,self,0.0
campaign_v3_union,128,baseline,Baseline,2,tilde_pla2_gap,10,0.7945263504147084,0.7345095239185964,0.8176510138139051,0.0,0.0,0.0,self,0.0
